facility_id,matched,geo_lat,geo_lon,dist_m,match_type,matched_address
dc_c7be2966c16a,True,40.554374,-74.458806,162.1,Exact,"3 CORPORATE PL, PISCATAWAY, NJ, 08854"
dc_7015a8562d9d,True,34.047282,-118.256692,61.1,Non_Exact,"600 W 7TH ST, LOS ANGELES, CA, 90017"
dc_c97738231c91,False,,,,No_Match,
dc_45ec8b20e65d,True,34.047282,-118.256692,70.1,Exact,"600 W 7TH ST, LOS ANGELES, CA, 90017"
dc_49e9f7db52dc,True,30.216362,-97.695677,135.7,Non_Exact,"7401 E BEN WHITE BLVD, AUSTIN, TX, 78741"
dc_ca70c0deb389,False,,,,No_Match,
dc_2839fc2c5212,True,40.726368,-74.005592,43.4,Non_Exact,"150 VARICK ST, NEW YORK, NY, 10013"
dc_583b75cdc1d2,True,33.743617,-84.582821,72.5,Exact,"375 RIVERSIDE PKWY, LITHIA SPRINGS, GA, 30122"
dc_fb81ab777b05,True,33.674627,-78.942135,46.3,Exact,"1401 HOWARD AVE, MYRTLE BEACH, SC, 29577"
dc_36a3c1c1f362,True,35.464479,-97.648888,225.8,Exact,"7725 W RENO AVE, OKLAHOMA CITY, OK, 73127"
dc_c83ebcd9777a,True,33.691369,-117.840359,106.2,Exact,"17222 VON KARMAN AVE, IRVINE, CA, 92614"
dc_65462e0cdff1,True,34.051411,-118.265796,34.1,Exact,"1200 W 7TH ST, LOS ANGELES, CA, 90017"
dc_555e7f99046e,True,39.561027,-104.858662,125.2,Non_Exact,"335 INVERNESS DR S, ENGLEWOOD, CO, 80112"
dc_93d82a58a852,True,43.073116,-89.386502,46.9,Exact,"222 W WASHINGTON AVE, MADISON, WI, 53703"
dc_2d61a33ca46b,False,,,,No_Match,
dc_d19c07e250c3,True,32.830076,-117.135523,100.5,Exact,"8971 COMPLEX DR, SAN DIEGO, CA, 92123"
dc_fdb3d62969dc,True,25.776033,-80.193092,18.6,Exact,"36 NE 2ND ST, MIAMI, FL, 33132"
dc_5c57ba7c00e3,True,42.363283,-71.161012,366.3,Non_Exact,"486 ARSENAL ST, WATERTOWN, MA, 02472"
dc_cebfa79ec447,True,43.112387,-95.117658,241.8,Exact,"2365 370TH ST, SPENCER, IA, 51301"
dc_551d1055ddc3,True,39.158469,-94.472967,169.6,Exact,"9050 NE UNDERGROUND DR, KANSAS CITY, MO, 64161"
dc_9a27ff212d93,True,40.450158,-80.006045,124.1,Non_Exact,"100 S CMNS, PITTSBURGH, PA, 15212"
dc_96c5b654ee78,True,40.529931,-74.327943,1915.2,Non_Exact,"3003 WOODBRIDGE AVE, EDISON, NJ, 08837"
dc_ae8edb4e2092,True,33.021332,-96.84362,110.2,Exact,"4025 MIDWAY RD, CARROLLTON, TX, 75007"
dc_22d8db7b360c,True,42.024109,-87.973947,49.2,Exact,"200 INNOVATION DR, ELK GROVE VILLAGE, IL, 60007"
dc_d64ac7105bee,True,40.710859,-74.000694,62.2,Non_Exact,"375 PEARL ST, NEW YORK, NY, 10038"
dc_47d937b135c2,False,,,,No_Match,
dc_bd177f82d3dd,True,39.101005,-94.582095,61.0,Non_Exact,"1100 WALNUT ST, KANSAS CITY, MO, 64106"
dc_54b3ef0880ca,False,,,,No_Match,
dc_ca9d0ab87d83,True,39.962785,-82.996184,56.0,Exact,"180 E BROAD ST, COLUMBUS, OH, 43215"
dc_c7c6e35626c1,True,41.58568,-93.6254,16.9,Exact,"666 WALNUT ST, DES MOINES, IA, 50309"
dc_6986fb479925,True,47.791278,-122.202409,52.0,Exact,"2326 228TH ST SE, BOTHELL, WA, 98021"
dc_436d369c718f,True,33.484087,-112.073845,265.3,Non_Exact,"3110 N CENTRAL AVE, PHOENIX, AZ, 85012"
dc_f0251b9c4cc6,True,41.501163,-81.680516,58.6,Exact,"1621 EUCLID AVE, CLEVELAND, OH, 44115"
dc_3afc967d9d1a,True,38.933155,-77.426518,235.8,Exact,"13873 PARK CENTER RD, HERNDON, VA, 20171"
dc_cfa299c09d66,False,,,,No_Match,
dc_ef12919892c5,True,30.451688,-91.116584,223.5,Exact,"7127 FLORIDA BLVD, BATON ROUGE, LA, 70806"
dc_f2375e9e8272,True,40.768287,-111.885994,29.1,Exact,"179 SOCIAL HALL AVE, SALT LAKE CITY, UT, 84111"
dc_110d4d59e055,True,40.556868,-74.488837,346.6,Exact,"101 POSSUMTOWN RD, PISCATAWAY, NJ, 08854"
dc_165b15e48a25,True,39.587742,-104.87629,992.5,Exact,"9706 E EASTER AVE, ENGLEWOOD, CO, 80112"
dc_bc98d15f165a,True,41.756533,-91.597929,116.9,Non_Exact,"980 N FRONT ST, NORTH LIBERTY, IA, 52317"
dc_307abcbb36ae,True,27.950142,-82.456179,26.4,Exact,"610 N MORGAN ST, TAMPA, FL, 33602"
dc_205214f38282,True,33.92377,-118.320589,57.8,Exact,"2301 W 120TH ST, HAWTHORNE, CA, 90250"
dc_25e74ffcb872,True,38.925685,-94.76952,85.7,Exact,"11200 LAKEVIEW AVE, LENEXA, KS, 66219"
dc_9d948b20f397,True,32.982578,-96.660361,437.0,Non_Exact,"1813 LOOKOUT DR, GARLAND, TX, 75044"
dc_79dfa0f520ee,True,42.056762,-91.679667,47.7,Exact,"755 METZGER DR, HIAWATHA, IA, 52233"
dc_9ce7e28cd5d6,True,25.776033,-80.193092,28.1,Exact,"36 NE 2ND ST, MIAMI, FL, 33132"
dc_0ef9a41e7d70,True,38.92304,-77.210563,569.2,Non_Exact,"1674A OLD MEADOW RD, MCLEAN, VA, 22102"
dc_b6fbffa58ede,True,33.708256,-93.556361,6324.4,Non_Exact,"358 STATE HWY 174, HOPE, AR, 71801"
dc_3706cdb29bf1,True,29.750013,-95.472711,109.9,Non_Exact,"5555 SAN FELIPE ST, HOUSTON, TX, 77056"
dc_ddb7e68d3679,True,38.245944,-85.757291,66.7,Exact,"332 W BROADWAY, LOUISVILLE, KY, 40202"
dc_363733e77dcd,False,,,,No_Match,
dc_a26daee8f0b8,True,40.719403,-74.04282,808.2,Exact,"95 CHRISTOPHER COLUMBUS DR, JERSEY CITY, NJ, 07302"
dc_d6ee1c60c7cf,True,25.776033,-80.193092,18.6,Non_Exact,"36 NE 2ND ST, MIAMI, FL, 33132"
dc_5316b4c0a16e,True,45.560579,-122.936196,208.6,Non_Exact,"5419 NE STARR BLVD, HILLSBORO, OR, 97124"
dc_70f64e34b56c,True,39.001098,-77.475464,32.7,Exact,"22291 SHELLHORN RD, ASHBURN, VA, 20147"
dc_6f3dc8f369c9,True,32.98137,-97.262721,911.1,Exact,"14100 PARK VISTA BLVD, FORT WORTH, TX, 76177"
dc_474021bfadb0,True,34.046483,-118.259013,54.3,Exact,"800 S HOPE ST, LOS ANGELES, CA, 90017"
dc_bc06006b2111,True,39.287752,-76.60685,74.4,Exact,"111 MARKET PL, BALTIMORE, MD, 21202"
dc_882a55829541,True,44.448311,-73.144964,153.2,Non_Exact,"530 COMMUNITY DR, SOUTH BURLINGTON, VT, 05403"
dc_43484bcf3562,True,39.848902,-104.979895,211.5,Exact,"550 E 84TH AVE, THORNTON, CO, 80229"
dc_ec9f9b87e90e,True,41.090952,-73.813834,315.2,Exact,"11 SKYLINE DR, HAWTHORNE, NY, 10532"
dc_7284cc251f4e,True,25.767923,-80.19032,86.3,Exact,"600 BRICKELL AVE, MIAMI, FL, 33131"
dc_584854729387,True,40.451752,-80.041902,61.6,Exact,"282 CORLISS ST, PITTSBURGH, PA, 15220"
dc_d4fbdd3d160d,True,37.334508,-121.89143,44.6,Exact,"55 S MARKET ST, SAN JOSE, CA, 95113"
dc_6c5747e8ee21,True,27.947439,-82.458855,39.5,Non_Exact,"400 TAMPA ST N, TAMPA, FL, 33602"
dc_8d1d5560f657,True,25.776033,-80.193092,18.6,Exact,"36 NE 2ND ST, MIAMI, FL, 33132"
dc_38197c1f3767,True,47.419439,-122.248366,146.4,Exact,"6906 S 204TH ST, KENT, WA, 98032"
dc_02182668c9f0,True,41.884386,-87.639723,439.3,Non_Exact,"111 N CANAL ST, CHICAGO, IL, 60606"
dc_50e4626e32e8,True,27.947439,-82.458855,56.8,Non_Exact,"400 TAMPA ST N, TAMPA, FL, 33602"
dc_3d42335bad72,True,39.136578,-94.577423,35.4,Non_Exact,"1530 SWIFT AVE, NORTH KANSAS CITY, MO, 64116"
dc_36754c52f050,True,39.014365,-77.457841,244.5,Non_Exact,"21715 FILIGREE CT, ASHBURN, VA, 20147"
dc_5c4333eac436,True,40.380235,-75.982912,142.0,Exact,"2561 BERNVILLE RD, READING, PA, 19605"
dc_bb41f7c6272c,True,37.401091,-121.892949,125.0,Exact,"2001 FORTUNE DR, SAN JOSE, CA, 95131"
dc_a8a368db33bb,True,37.09413,-88.634109,12.3,Non_Exact,"1212 HELEN ST, PADUCAH, KY, 42001"
dc_1c34e69b8d80,True,33.755474,-84.391094,44.1,Non_Exact,"55 MARIETTA ST, ATLANTA, GA, 30303"
dc_19d78aae92b7,False,,,,No_Match,
dc_3c06c3237ab7,True,47.154825,-122.280321,98.6,Exact,"1023 39TH AVE SE, PUYALLUP, WA, 98374"
dc_e7e81b57c81b,True,40.439169,-80.000902,42.1,Exact,"322 4TH AVE, PITTSBURGH, PA, 15222"
dc_95ab7384a93f,True,33.085202,-96.812385,389.0,Exact,"8375 DOMINION PKWY, PLANO, TX, 75024"
dc_7aae4d4abf47,True,33.137142,-96.661343,322.8,Exact,"820 ALLEN COMMERCE PKWY, ALLEN, TX, 75013"
dc_cda90edc406a,True,27.949592,-82.458713,31.4,Exact,"655 N FRANKLIN ST, TAMPA, FL, 33602"
dc_936035203d1f,True,46.795464,-92.095399,56.2,Non_Exact,"421 N 6TH AVE E, DULUTH, MN, 55805"
dc_d53cb59c41ed,True,35.966288,-83.921575,79.0,Non_Exact,"500 W SUMMIT HILL DR, KNOXVILLE, TN, 37902"
dc_65708f50b372,True,34.17856,-118.316386,84.9,Non_Exact,"164 W MAGNOLIA BLVD, BURBANK, CA, 91502"
dc_9b54779dc33d,True,38.788225,-121.313841,186.8,Non_Exact,"9000 FOOTHILLS BLVD, ROSEVILLE, CA, 95747"
dc_0e25227f34f6,True,41.299793,-72.925888,22.1,Exact,"54 MEADOW ST, NEW HAVEN, CT, 06519"
dc_2546bb57a1b3,True,34.048222,-118.254575,48.4,Exact,"530 W 6TH ST, LOS ANGELES, CA, 90014"
dc_ccc53908a275,True,37.230377,-93.215666,328.8,Non_Exact,"1904 N LE COMPTE RD, SPRINGFIELD, MO, 65802"
dc_9448c3ccf011,False,,,,No_Match,
dc_50d4b0564dea,True,38.04783,-84.500067,45.1,Exact,"333 W VINE ST, LEXINGTON, KY, 40507"
dc_b8be2b6536e3,True,37.788616,-122.390816,12.5,Exact,"365 MAIN ST, SAN FRANCISCO, CA, 94105"
dc_9acc15c3d0a9,True,37.722945,-122.397718,54.4,Non_Exact,"200 PAUL AVE, SAN FRANCISCO, CA, 94124"
dc_33e94a939c1b,True,39.021126,-77.460121,35.4,Exact,"44490 CHILUM PL, ASHBURN, VA, 20147"
