facility_id,name,state,latitude,longitude,building_match,building_dist_m,n_buildings_200m,build_id,footprint_sqft,source_sqft,height_m,occupancy_class,building_address,imagery_date,flood_zone,flood_mapped,flood_sfha,flood_subtype,multi_storey
dc_9bb24f423687,CoreSite DC1,DC,38.9025805,-77.0292105,nearest,16.68608366895192,19,16010881.0,43187.0,43185.43,28.09,Residential,1201 K STREET NORTHWEST,1348531200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_a6e2e1513613,Southwest Cyberport,NM,35.10196,-106.58933,nearest,33.343179307892875,72,12089738.0,49266.3,49252.33,,Education,5041 INDIAN SCHOOL ROAD NORTHEAST,1314835200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_a686ad9e9a88,NocRoom Miami IT Services,FL,25.7915453,-80.3177484,contains,0.0,12,30419267.0,48324.8,48324.57,4.54,Commercial,7415 NW 19 ST,1392508800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_6d263b15b250,NocRoom Miami IT Services,FL,25.776033,-80.193092,nearest,0.7010647328960676,19,30407427.0,162425.1,162424.5,21.25,Education,36 NE 2 ST,1392508800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,True
dc_880a171377bb,Center for Computation & Technology (CCT),LA,30.407446,-91.1725454,contains,0.0,13,2648550.0,38685.3,38611.59,,Education,888 SOUTH STADIUM DRIVE,1507852800000.0,X,True,False,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,
dc_537f282facb3,Google Fiber,GA,33.7715677,-84.3668585,contains,0.0,28,17234322.0,66771.0,66770.95,7.42,Commercial,,1351209600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_15be445c537f,Open Computing Facility,CA,37.8698521,-122.2598231,nearest,0.5085872128480804,29,16360303.0,24512.6,24512.52,9.37,Education,,1349049600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_e54691f8993e,Lumos Networks,VA,37.4156786,-79.1429447,nearest,3.2942321325940496,24,6002690.0,23358.4,23032.32,,Government,800 MAIN STREET,1425254400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
dc_004d4bd391b5,Rack59 Data Center,OK,35.4672049,-97.6497453,contains,0.0,13,7367231.0,1426957.2,1426956.0,10.24,Industrial,,1375142400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,False
dc_c15c28bd70c1,Oso Grande,NM,35.0925015,-106.6536712,contains,0.0,125,12076943.0,60330.0,60315.53,,Commercial,725 6TH STREET NORTHWEST,1314835200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,
