facility_id,name,orig_lat,orig_lon,suggested_lat,suggested_lon,dist_m,n_buildings_within_60m,ambiguous,note,google_earth
dc_e1f13594b03c,LCOG Park Place,44.050388,-123.092459,44.050839,-123.092607,51.5,2,True,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@44.050388,-123.092459,0a,150d,35y"
dc_d26ec4045e7e,X2nSat Petaluma,38.274793,-122.666564,38.274685,-122.666023,48.8,1,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@38.274793,-122.666564,0a,150d,35y"
dc_ac081552fe1c,EdgeConneX Portland (EDCPOR01),45.548296,-122.907473,45.54966,-122.907804,153.8,0,False,no building nearby - manual,"https://earth.google.com/web/@45.548296,-122.907473,0a,150d,35y"
dc_90c8dcfdda40,Stack Infrastructure Portland PORO2,45.547403,-122.897906,45.548042,-122.89865,91.7,0,False,no building nearby - manual,"https://earth.google.com/web/@45.547403,-122.897906,0a,150d,35y"
dc_ce363e3ec754,Flexential - Portland/Hillsboro (PDX01),45.54845,-122.891445,45.547603,-122.891975,102.8,0,False,no building nearby - manual,"https://earth.google.com/web/@45.54845,-122.891445,0a,150d,35y"
dc_58ce7a0aa27d,Opus Interactive Hillsboro (HIO01),45.547403,-122.897906,45.548042,-122.89865,91.7,0,False,no building nearby - manual,"https://earth.google.com/web/@45.547403,-122.897906,0a,150d,35y"
dc_03a9959da784,EdgeConneX Hillsboro (EDCPOR02),45.548296,-122.907473,45.54966,-122.907804,153.8,0,False,no building nearby - manual,"https://earth.google.com/web/@45.548296,-122.907473,0a,150d,35y"
dc_bb6acbbe7a18,QTS Hillsboro (HIL1),45.55717,-122.927173,45.557695,-122.92574,126.2,0,False,no building nearby - manual,"https://earth.google.com/web/@45.55717,-122.927173,0a,150d,35y"
dc_23f3922163d5,Corepacket PDX-1,45.521056,-122.67918,45.520621,-122.679537,55.8,1,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@45.521056,-122.67918,0a,150d,35y"
dc_3933c406bf5d,T5@Portland,45.555659,-122.938245,45.55531,-122.939149,80.5,0,False,no building nearby - manual,"https://earth.google.com/web/@45.555659,-122.938245,0a,150d,35y"
dc_5316b4c0a16e,Flexential - Portland/Hillsboro 3 (PDX03),45.559203,-122.938018,45.560371,-122.937604,133.8,0,False,no building nearby - manual,"https://earth.google.com/web/@45.559203,-122.938018,0a,150d,35y"
dc_2e2a707c7ddf,SMRWORXA - Somerset West Central Office,45.546391,-122.866777,45.546817,-122.866433,54.4,1,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@45.546391,-122.866777,0a,150d,35y"
dc_0829ecd70434,BVTNORXB - Beaverton Central Office,45.490175,-122.811642,45.489894,-122.811119,51.4,1,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@45.490175,-122.811642,0a,150d,35y"
dc_9acc15c3d0a9,Digital Realty SFO (200 Paul),37.723407,-122.397923,37.724717,-122.397413,152.2,0,False,no building nearby - manual,"https://earth.google.com/web/@37.723407,-122.397923,0a,150d,35y"
dc_64ef535e80b4,Digital Realty SFO (365 Main),37.788669,-122.390509,37.788062,-122.389729,96.2,0,False,no building nearby - manual,"https://earth.google.com/web/@37.788669,-122.390509,0a,150d,35y"
dc_483139dbc068,The Mission Street Center,37.780351,-122.408954,37.780733,-122.408708,47.6,4,True,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@37.780351,-122.408954,0a,150d,35y"
dc_57acf1168596,SFDC1 - 200 Paul Ave,37.723698,-122.398056,37.724717,-122.397413,126.5,0,False,no building nearby - manual,"https://earth.google.com/web/@37.723698,-122.398056,0a,150d,35y"
dc_cd1b4830cc8b,Wave Data Centers San Francisco,37.723698,-122.398056,37.724717,-122.397413,126.5,0,False,no building nearby - manual,"https://earth.google.com/web/@37.723698,-122.398056,0a,150d,35y"
dc_b8be2b6536e3,3HCloud - SFO-1,37.788637,-122.390676,37.789685,-122.391033,120.4,0,False,no building nearby - manual,"https://earth.google.com/web/@37.788637,-122.390676,0a,150d,35y"
dc_5a0289a90452,Evocative Emeryville (EM1),37.847054,-122.293028,37.846064,-122.292677,114.2,0,False,no building nearby - manual,"https://earth.google.com/web/@37.847054,-122.293028,0a,150d,35y"
dc_92b8c227e4e0,GRHMORXB - Gresham Central Office,45.510725,-122.431708,45.510174,-122.431403,65.7,0,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@45.510725,-122.431708,0a,150d,35y"
dc_a2e7abda96a4,Clackamas ESD Datacenter,45.426814,-122.564112,45.427378,-122.562411,147.1,0,False,no building nearby - manual,"https://earth.google.com/web/@45.426814,-122.564112,0a,150d,35y"
dc_3c06c3237ab7,Colocation Northwest - South Hill,47.154859,-122.279018,47.154405,-122.279227,52.9,1,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@47.154859,-122.279018,0a,150d,35y"
dc_256bfc3771cd,ScaleMatrix Seattle Data Center US-West 02,47.154858,-122.279018,47.154405,-122.279227,52.8,1,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@47.154858,-122.279018,0a,150d,35y"
dc_38197c1f3767,"Equinix SE4 - Seattle, Kent",47.420627,-122.247527,47.421525,-122.247393,100.4,0,False,no building nearby - manual,"https://earth.google.com/web/@47.420627,-122.247527,0a,150d,35y"
dc_6986fb479925,BOTHWAXB - Bothell Central Office,47.790938,-122.201932,47.790826,-122.202719,60.2,0,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@47.790938,-122.201932,0a,150d,35y"
dc_d4fbdd3d160d,CoreSite - San Jose (SV1),37.334147,-121.891649,37.333883,-121.892182,55.6,1,False,SUGGESTION - confirm on Google Earth,"https://earth.google.com/web/@37.334147,-121.891649,0a,150d,35y"
