facility_id,campus_id,name,operator_company,facility_type,status,latitude,longitude,geom_type,geocode_precision,coord_confidence,address,city,state,county,zip,country,size_sqft,area_basis,power_capacity_mw,power_basis,power_demand_mw,year_opened,planned_year,in_conus,included,confidence,notes,snapshot_date,dataset_version,sources_json,source_name,source_url,n_sources
dc_7f3ccc12073c,,CoreSite DC1,CoreSite,colocation,operational,38.9028879,-77.0291491,point,address,medium,1275 K Street Northwest,,DC,District of Columbia,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/751881301"", ""source_record_id"": ""node/751881301"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:housenumber"": ""1275"", ""addr:street"": ""K Street Northwest"", ""clli"": ""WASHDC12"", ""name"": ""CoreSite DC1"", ""operator"": ""CoreSite"", ""operator:wikidata"": ""Q5170140"", ""source"": ""dcgis"", ""telecom"": ""data_center"", ""website"": ""https://www.coresite.com/data-center/dc1-washington-d-c""}}]",OpenStreetMap,https://www.openstreetmap.org/node/751881301,1
dc_a6e2e1513613,,Southwest Cyberport,,unknown,operational,35.1032925,-106.5893487,point,address,medium,5021 Indian School Road Northeast,Albuquerque,NM,Bernalillo,87110,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/1825907839"", ""source_record_id"": ""node/1825907839"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Albuquerque"", ""addr:housename"": ""Tech Commons Office Complex"", ""addr:housenumber"": ""5021"", ""addr:postcode"": ""87110"", ""addr:state"": ""NM"", ""addr:street"": ""Indian School Road Northeast"", ""addr:suite"": ""600"", ""name"": ""Southwest Cyberport"", ""phone"": ""+1-505-232-7975"", ""short_name"": ""SWCP"", ""telecom"": ""data_center"", ""website"": ""https://www.swcp.com/"", ""wheelchair"": ""yes""}}]",OpenStreetMap,https://www.openstreetmap.org/node/1825907839,1
dc_72139daad5ec,,SDSU Computer Room,,excluded_minor,operational,32.7750252,-117.070888,point,address,medium,,,CA,San Diego,,US,,unknown,,unknown,,,,True,False,high,Tagged excluded_minor (server room / university / IXP) by classifier.,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/2607827436"", ""source_record_id"": ""node/2607827436"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""SDSU Computer Room"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/2607827436,1
dc_a686ad9e9a88,,NocRoom Miami IT Services,,unknown,operational,25.7915453,-80.3177484,point,address,medium,,,FL,Miami-Dade,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/3406467087"", ""source_record_id"": ""node/3406467087"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""check_date:currency:XBT"": ""2022-12-23"", ""currency:XBT"": ""yes"", ""name"": ""NocRoom Miami IT Services"", ""telecom"": ""data_center"", ""website"": ""https://nocroom.com""}}]",OpenStreetMap,https://www.openstreetmap.org/node/3406467087,1
dc_6d263b15b250,,NocRoom Miami IT Services,,unknown,operational,25.6465617,-80.4234346,point,address,medium,,,FL,Miami-Dade,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/3406476814"", ""source_record_id"": ""node/3406476814"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""check_date:currency:XBT"": ""2022-12-23"", ""currency:XBT"": ""yes"", ""name"": ""NocRoom Miami IT Services"", ""telecom"": ""data_center"", ""website"": ""https://nocroom.com""}}]",OpenStreetMap,https://www.openstreetmap.org/node/3406476814,1
dc_880a171377bb,,Center for Computation & Technology (CCT),,unknown,operational,30.407446,-91.1725454,point,address,medium,,,LA,East Baton Rouge,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/3468203102"", ""source_record_id"": ""node/3468203102"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Center for Computation & Technology (CCT)"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/3468203102,1
dc_dbb9234bb48f,,The Pittock Internet Exchange,Alco Properties,excluded_minor,operational,45.5214248,-122.680562,point,address,medium,921 Southwest Washington Street,Portland,OR,Multnomah,97205,US,,unknown,,unknown,,,,True,False,high,Tagged excluded_minor (server room / university / IXP) by classifier.,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/3732415309"", ""source_record_id"": ""node/3732415309"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Portland"", ""addr:housenumber"": ""921"", ""addr:postcode"": ""97205"", ""addr:state"": ""OR"", ""addr:street"": ""Southwest Washington Street"", ""addr:unit"": ""100"", ""name"": ""The Pittock Internet Exchange"", ""operator"": ""Alco Properties"", ""telecom"": ""data_center"", ""website"": ""http://www.pittock.com/""}}]",OpenStreetMap,https://www.openstreetmap.org/node/3732415309,1
dc_537f282facb3,,Google Fiber,Google,hyperscale,operational,33.7715677,-84.3668585,point,address,medium,,,GA,Fulton,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/4879481820"", ""source_record_id"": ""node/4879481820"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""building"": ""yes"", ""name"": ""Google Fiber"", ""operator"": ""Google"", ""operator:wikidata"": ""Q95"", ""operator:wikipedia"": ""en:Google"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/4879481820,1
dc_15be445c537f,,Open Computing Facility,,unknown,operational,37.8698521,-122.2598231,point,address,medium,,,CA,Alameda,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/5146323411"", ""source_record_id"": ""node/5146323411"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""description"": ""Computer lab providing services to UC Berkeley community"", ""name"": ""Open Computing Facility"", ""source"": ""local_knowledge"", ""telecom"": ""data_center"", ""website"": ""https://www.ocf.berkeley.edu/"", ""wheelchair"": ""yes"", ""wikidata"": ""Q7095985"", ""wikipedia"": ""en:Open Computing Facility""}}]",OpenStreetMap,https://www.openstreetmap.org/node/5146323411,1
dc_e54691f8993e,,Lumos Networks,,unknown,operational,37.415688,-79.1427063,point,address,medium,,,VA,Lynchburg,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/5225685660"", ""source_record_id"": ""node/5225685660"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Lumos Networks"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/5225685660,1
