facility_id,campus_id,name,operator_company,facility_type,status,compute_capabilities,latitude,longitude,geom_type,geocode_precision,coordinate_precision,coord_confidence,address,city,state,county,zip,country,size_sqft,area_basis,num_floors,power_capacity_mw,power_basis,power_demand_mw,year_opened,planned_year,in_conus,included,confidence,notes,snapshot_date,dataset_version,sources_json,source_name,source_url,n_sources,coordinate_status,verification_status,confirmed_lat,confirmed_lon,verification_evidence,verification_source,verification_confidence,verification_date,verification_method,original_lat,original_lon
dc_9bb24f423687,,CoreSite DC1,CoreSite,colocation,operational,,38.9028879,-77.0291491,point,address,building,medium,1275 K Street Northwest,Washington,DC,District of Columbia,20005,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/751881301"", ""source_record_id"": ""node/751881301"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:housenumber"": ""1275"", ""addr:street"": ""K Street Northwest"", ""clli"": ""WASHDC12"", ""name"": ""CoreSite DC1"", ""operator"": ""CoreSite"", ""operator:wikidata"": ""Q5170140"", ""source"": ""dcgis"", ""telecom"": ""data_center"", ""website"": ""https://www.coresite.com/data-center/dc1-washington-d-c""}}, {""source_name"": ""PeeringDB"", ""source_url"": ""https://www.peeringdb.com/fac/286"", ""source_record_id"": ""286"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""CoreSite - Washington,DC (DC1)"", ""city"": ""Washington"", ""state"": ""DC"", ""zipcode"": ""20005"", ""address1"": ""1275 K Street, NW"", ""org_id"": 34, ""campus_id"": 9}}]",OpenStreetMap,https://www.openstreetmap.org/node/751881301,2,on_osm_building_single_source,pending,,,,,,,,38.9028879,-77.0291491
dc_a6e2e1513613,,Southwest Cyberport,,unknown,operational,,35.1032925,-106.5893487,point,address,building,medium,5021 Indian School Road Northeast,Albuquerque,NM,Bernalillo,87110,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/1825907839"", ""source_record_id"": ""node/1825907839"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Albuquerque"", ""addr:housename"": ""Tech Commons Office Complex"", ""addr:housenumber"": ""5021"", ""addr:postcode"": ""87110"", ""addr:state"": ""NM"", ""addr:street"": ""Indian School Road Northeast"", ""addr:suite"": ""600"", ""name"": ""Southwest Cyberport"", ""phone"": ""+1-505-232-7975"", ""short_name"": ""SWCP"", ""telecom"": ""data_center"", ""website"": ""https://www.swcp.com/"", ""wheelchair"": ""yes""}}]",OpenStreetMap,https://www.openstreetmap.org/node/1825907839,1,on_osm_building_single_source,pending,,,,,,,,35.1032925,-106.5893487
dc_a686ad9e9a88,,NocRoom Miami IT Services,,unknown,operational,,25.7915453,-80.3177484,point,address,building,medium,,,FL,Miami-Dade,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/3406467087"", ""source_record_id"": ""node/3406467087"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""check_date:currency:XBT"": ""2022-12-23"", ""currency:XBT"": ""yes"", ""name"": ""NocRoom Miami IT Services"", ""telecom"": ""data_center"", ""website"": ""https://nocroom.com""}}]",OpenStreetMap,https://www.openstreetmap.org/node/3406467087,1,on_osm_building_single_source,pending,,,,,,,,25.7915453,-80.3177484
dc_6d263b15b250,,NocRoom Miami IT Services,,unknown,operational,,25.6465617,-80.4234346,point,address,building,medium,,,FL,Miami-Dade,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/3406476814"", ""source_record_id"": ""node/3406476814"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""check_date:currency:XBT"": ""2022-12-23"", ""currency:XBT"": ""yes"", ""name"": ""NocRoom Miami IT Services"", ""telecom"": ""data_center"", ""website"": ""https://nocroom.com""}}]",OpenStreetMap,https://www.openstreetmap.org/node/3406476814,1,on_osm_building_single_source,pending,,,,,,,,25.6465617,-80.4234346
dc_880a171377bb,,Center for Computation & Technology (CCT),,unknown,operational,,30.407446,-91.1725454,point,address,building,medium,,,LA,East Baton Rouge,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/3468203102"", ""source_record_id"": ""node/3468203102"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Center for Computation & Technology (CCT)"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/3468203102,1,independently_confirmed_on_building,pending,,,,,,,,30.407446,-91.1725454
dc_537f282facb3,,Google Fiber,Google,hyperscale,operational,,33.7715677,-84.3668585,point,address,building,medium,,,GA,Fulton,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/4879481820"", ""source_record_id"": ""node/4879481820"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""building"": ""yes"", ""name"": ""Google Fiber"", ""operator"": ""Google"", ""operator:wikidata"": ""Q95"", ""operator:wikipedia"": ""en:Google"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/4879481820,1,on_osm_building_single_source,pending,,,,,,,,33.7715677,-84.3668585
dc_15be445c537f,,Open Computing Facility,,unknown,operational,,37.8698521,-122.2598231,point,address,building,medium,,,CA,Alameda,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/5146323411"", ""source_record_id"": ""node/5146323411"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""description"": ""Computer lab providing services to UC Berkeley community"", ""name"": ""Open Computing Facility"", ""source"": ""local_knowledge"", ""telecom"": ""data_center"", ""website"": ""https://www.ocf.berkeley.edu/"", ""wheelchair"": ""yes"", ""wikidata"": ""Q7095985"", ""wikipedia"": ""en:Open Computing Facility""}}]",OpenStreetMap,https://www.openstreetmap.org/node/5146323411,1,independently_confirmed_on_building,pending,,,,,,,,37.8698521,-122.2598231
dc_e54691f8993e,,Lumos Networks,,unknown,operational,,37.415688,-79.1427063,point,address,building,medium,,,VA,Lynchburg,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/5225685660"", ""source_record_id"": ""node/5225685660"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Lumos Networks"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/5225685660,1,on_osm_building_single_source,pending,,,,,,,,37.415688,-79.1427063
dc_004d4bd391b5,,Rack59 Data Center,,unknown,operational,,35.4672049,-97.6497453,point,address,building,medium,7725 West Reno Avenue,Oklahoma CIty,OK,Oklahoma,73127,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6401035673"", ""source_record_id"": ""node/6401035673"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Oklahoma CIty"", ""addr:housenumber"": ""7725"", ""addr:postcode"": ""73127"", ""addr:state"": ""OK"", ""addr:street"": ""West Reno Avenue"", ""addr:unit"": ""385"", ""name"": ""Rack59 Data Center"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/6401035673,1,on_osm_building_single_source,pending,,,,,,,,35.4672049,-97.6497453
dc_c15c28bd70c1,,Oso Grande,Oso Grande,unknown,operational,,35.0925015,-106.6536712,point,address,building,medium,725 6th Street Northwest,Albuquerque,NM,Bernalillo,87102,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6625492701"", ""source_record_id"": ""node/6625492701"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Albuquerque"", ""addr:housenumber"": ""725"", ""addr:postcode"": ""87102"", ""addr:state"": ""NM"", ""addr:street"": ""6th Street Northwest"", ""addr:unit"": ""C"", ""name"": ""Oso Grande"", ""operator"": ""Oso Grande"", ""ref"": ""OSO"", ""telecom"": ""data_center""}}, {""source_name"": ""PeeringDB"", ""source_url"": ""https://www.peeringdb.com/fac/8756"", ""source_record_id"": ""8756"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Oso Grande Technologies"", ""city"": ""Albuquerque"", ""state"": ""NM"", ""zipcode"": ""87102"", ""address1"": ""725 6th Street NW"", ""org_id"": 26439, ""campus_id"": null}}]",OpenStreetMap,https://www.openstreetmap.org/node/6625492701,2,independently_confirmed_on_building,pending,,,,,,,,35.0925015,-106.6536712
dc_c2c582121fae,,Morgan Wireless,,unknown,operational,,39.6309851,-78.2253196,point,address,building,medium,303 North Washington Street,Bath (Berkeley Springs),WV,Morgan,25411,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6793837329"", ""source_record_id"": ""node/6793837329"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Bath (Berkeley Springs)"", ""addr:housenumber"": ""303"", ""addr:postcode"": ""25411"", ""addr:state"": ""WV"", ""addr:street"": ""North Washington Street"", ""addr:unit"": ""1"", ""name"": ""Morgan Wireless"", ""phone"": ""+1-304-592-8330"", ""telecom"": ""data_center"", ""website"": ""https://www.morganwireless.net""}}]",OpenStreetMap,https://www.openstreetmap.org/node/6793837329,1,independently_confirmed_on_building,pending,,,,,,,,39.6309851,-78.2253196
dc_6324e54cb1f3,,VIRTBIZ,,unknown,operational,,32.7825463,-96.7828145,point,address,building,medium,2805 Canton Street,Dallas,TX,Dallas,75226,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6856057098"", ""source_record_id"": ""node/6856057098"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Dallas"", ""addr:housenumber"": ""2805"", ""addr:postcode"": ""75226"", ""addr:state"": ""TX"", ""addr:street"": ""Canton Street"", ""description"": ""Web hosting, dedicated servers, VPS and colocation."", ""name"": ""VIRTBIZ"", ""phone"": ""+1-972-485-4125"", ""telecom"": ""data_center"", ""website"": ""https://www.virtbiz.com/""}}]",OpenStreetMap,https://www.openstreetmap.org/node/6856057098,1,independently_confirmed_on_building,pending,,,,,,,,32.7825463,-96.7828145
dc_94697aa66760,,FirstLight Data Center,FirstLight,unknown,operational,,43.6578388,-70.2613785,point,address,building,medium,340 Cumberland Avenue,Portland,ME,Cumberland,04101,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7171975407"", ""source_record_id"": ""node/7171975407"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Portland"", ""addr:housenumber"": ""340"", ""addr:postcode"": ""04101"", ""addr:state"": ""ME"", ""addr:street"": ""Cumberland Avenue"", ""addr:unit"": ""7"", ""name"": ""FirstLight Data Center"", ""operator"": ""FirstLight"", ""telecom"": ""data_center"", ""website"": ""https://www.firstlight.net/products/data-center/portland-me-data-center/""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7171975407,1,on_osm_building_single_source,pending,,,,,,,,43.6578388,-70.2613785
dc_72d8cb06afd7,,Learning GIS!,,unknown,operational,,40.42179,-86.9141546,point,address,building,medium,,,IN,Tippecanoe,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7264976228"", ""source_record_id"": ""node/7264976228"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Learning GIS!"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7264976228,1,independently_confirmed_on_building,pending,,,,,,,,40.42179,-86.9141546
dc_ba3a04b0acb7,,Agricultural and Biological Engineering,,unknown,operational,,40.4218543,-86.9165454,point,address,building,medium,,,IN,Tippecanoe,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7264976991"", ""source_record_id"": ""node/7264976991"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""description"": ""Youthmapper generated Purdue GIS classroom or data labs."", ""name"": ""Agricultural and Biological Engineering"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7264976991,1,independently_confirmed_on_building,pending,,,,,,,,40.4218543,-86.9165454
dc_eef3ba94431e,,Windstream Communications,,unknown,operational,,35.881397,-78.851552,point,address,building,medium,5400 South Miami Boulevard,Durham,NC,Durham,27703,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7324132050"", ""source_record_id"": ""node/7324132050"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Durham"", ""addr:housenumber"": ""5400"", ""addr:postcode"": ""27703"", ""addr:state"": ""NC"", ""addr:street"": ""South Miami Boulevard"", ""addr:unit"": ""134"", ""name"": ""Windstream Communications"", ""telecom"": ""data_center"", ""wikidata"": ""Q8024771"", ""wikipedia"": ""en:Windstream Holdings""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7324132050,1,independently_confirmed_on_building,pending,,,,,,,,35.881397,-78.851552
dc_d1631b663c48,,Level 3 Communications,,unknown,operational,,35.881364,-78.8515726,point,address,building,medium,5400 South Miami Boulevard,Durham,NC,Durham,27703,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7324132051"", ""source_record_id"": ""node/7324132051"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Durham"", ""addr:housenumber"": ""5400"", ""addr:postcode"": ""27703"", ""addr:state"": ""NC"", ""addr:street"": ""South Miami Boulevard"", ""addr:unit"": ""135"", ""name"": ""Level 3 Communications"", ""telecom"": ""data_center"", ""wikidata"": ""Q322320"", ""wikipedia"": ""en:Level 3 Communications""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7324132051,1,independently_confirmed_on_building,pending,,,,,,,,35.881364,-78.8515726
