facility_id,name,state,latitude,longitude,building_match,building_dist_m,search_radius_m,n_buildings_in_radius,largest_nearby_sqft,largest_nearby_dist_m,largest_nearby_height_m,build_id,footprint_sqft,source_sqft,height_m,occupancy_class,building_address,imagery_date,flood_zone,flood_mapped,flood_sfha,flood_subtype,building_match_confidence,multi_storey,fp_cells,fp_whp_max,fp_whp_burnable_frac,fp_whp_modal,haz_wildfire_whp_code,haz_wildfire_max_severity_1000m,haz_seismic_pga_g_475yr,haz_lightning_flash_per_km2_yr
dc_9bb24f423687,CoreSite DC1,DC,38.9025805,-77.0292105,nearest,16.68608366895192,200.0,19,127642.6,160.67038444471976,39.19,16010881.0,43187.0,43185.43,28.09,Residential,1201 K STREET NORTHWEST,1348531200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,True,1.0,,0.0,6.0,6.0,1.0,0.055,13.629328727722168
dc_a6e2e1513613,Southwest Cyberport,NM,35.10196,-106.58933,nearest,33.343179307892875,200.0,72,49266.3,33.343179307892875,,12089738.0,49266.3,49252.33,,Education,5041 INDIAN SCHOOL ROAD NORTHEAST,1314835200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,,0.055,9.913078308105469
dc_a686ad9e9a88,NocRoom Miami IT Services,FL,25.7915453,-80.3177484,contains,0.0,200.0,12,96461.5,148.5640750396319,3.56,30419267.0,48324.8,48324.57,4.54,Commercial,7415 NW 19 ST,1392508800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,2.0,,0.0,6.0,6.0,2.0,0.005,22.965288162231445
dc_6d263b15b250,NocRoom Miami IT Services,FL,25.776033,-80.193092,nearest,0.7010647328960676,200.0,19,162425.1,0.7010647328960676,21.25,30407427.0,162425.1,162424.5,21.25,Education,36 NE 2 ST,1392508800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,True,4.0,,0.0,6.0,6.0,3.0,0.005,22.965288162231445
dc_880a171377bb,Center for Computation & Technology (CCT),LA,30.407446,-91.1725454,contains,0.0,200.0,13,165739.9,19.437579954287663,12.8,2648550.0,38685.3,38611.59,,Education,888 SOUTH STADIUM DRIVE,1507852800000.0,X,True,False,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,high,,2.0,,0.0,6.0,6.0,1.0,0.025,27.227249145507812
dc_537f282facb3,Google Fiber,GA,33.7715677,-84.3668585,contains,0.0,200.0,28,240164.9,84.44372130303874,33.8,17234322.0,66771.0,66770.95,7.42,Commercial,,1351209600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,2.0,,0.0,6.0,6.0,3.0,0.055,16.562829971313477
dc_15be445c537f,Open Computing Facility,CA,37.8698521,-122.2598231,nearest,0.5085872128480804,200.0,29,172360.2,179.21879230366125,20.95,16360303.0,24512.6,24512.52,9.37,Education,,1349049600000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,,0.0,6.0,6.0,4.0,0.595,0.0928128734230995
dc_e54691f8993e,Lumos Networks,VA,37.4156786,-79.1429447,nearest,3.2942321325940496,200.0,24,190658.9,18.506521326989876,,6002690.0,23358.4,23032.32,,Government,800 MAIN STREET,1425254400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,1.0,0.065,10.857731819152832
dc_004d4bd391b5,Rack59 Data Center,OK,35.4672049,-97.6497453,contains,0.0,200.0,13,1426957.2,0.0,10.24,7367231.0,1426957.2,1426956.0,10.24,Industrial,,1375142400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,6.0,,0.0,6.0,6.0,1.0,0.045,18.828590393066406
dc_c15c28bd70c1,Oso Grande,NM,35.0925015,-106.6536712,contains,0.0,200.0,125,60330.0,0.0,,12076943.0,60330.0,60315.53,,Commercial,725 6TH STREET NORTHWEST,1314835200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,,0.055,9.913078308105469
