facility_id,name,operator_company,facility_type,status,state,county,latitude,longitude,coordinate_precision,verification_status,coord_confidence,size_sqft,num_floors,haz_lightning_flash_per_km2_yr,haz_seismic_pga_g_475yr,haz_seismic_pga_g_475yr_method,haz_seismic_pga_g_975yr,haz_seismic_pga_g_975yr_method,haz_seismic_pga_g_2475yr,haz_seismic_pga_g_2475yr_method,haz_wildfire_whp_code,haz_wildfire_whp_severity,haz_wildfire_surface,haz_wildfire_burnable_frac_1000m,haz_wildfire_max_severity_1000m,haz_wildfire_burnable_frac_2400m,haz_wildfire_max_severity_2400m,haz_wildfire_burnable_frac_5000m,haz_wildfire_max_severity_5000m,haz_seismic_pga_g_2475yr_usgs,haz_seismic_sa_02s_g,haz_seismic_sa_1s_g,haz_seismic_sa_02s_g_975yr,haz_seismic_sa_1s_g_975yr,haz_seismic_sa_02s_g_225yr,haz_seismic_sa_1s_g_225yr,haz_seismic_source,qa_coordinate_on_water
dc_9bb24f423687,CoreSite DC1,CoreSite,colocation,operational,DC,District of Columbia,38.9025805,-77.0292105,building,CANDIDATE,medium,,,13.629328727722168,0.055,1,0.095,1,0.155,1,6.0,,non_burnable,0.046511627906976744,1.0,0.04838709677419355,2.0,0.11234911792014857,2.0,0.076,0.15,0.042,0.083,0.03,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_a6e2e1513613,Southwest Cyberport,,unknown,operational,NM,Bernalillo,35.10196,-106.58933,building,CANDIDATE,medium,,,9.913078308105469,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.0,,0.012048192771084338,2.0,0.056691449814126396,3.0,0.17,0.42,0.12,0.254,0.082,0.083,0.029,USGS ASCE 7-22 point service (site class BC),False
dc_a686ad9e9a88,NocRoom Miami IT Services,,unknown,operational,FL,Miami-Dade,25.7915453,-80.3177484,building,AMBIGUOUS,medium,,,22.965288162231445,0.005,1,0.015,1,0.025,1,6.0,,non_burnable,0.15555555555555556,2.0,0.06,3.0,0.09842154131847725,3.0,0.022,0.05,0.021,0.021,0.014,0.006,,USGS ASCE 7-22 point service (site class BC),False
dc_6d263b15b250,NocRoom Miami IT Services,,unknown,operational,FL,Miami-Dade,25.776033,-80.193092,building,CANDIDATE,medium,,,22.965288162231445,0.005,1,0.015,1,0.025,1,6.0,,non_burnable,0.023255813953488372,3.0,0.024193548387096774,3.0,0.025974025974025976,3.0,0.021,0.048,0.021,0.02,0.013,0.006,,USGS ASCE 7-22 point service (site class BC),False
dc_880a171377bb,Center for Computation & Technology (CCT),,unknown,operational,LA,East Baton Rouge,30.407446,-91.1725454,building,pending,medium,,,27.227249145507812,0.025,1,0.035,1,0.065,1,6.0,,non_burnable,0.14285714285714285,1.0,0.24796747967479674,1.0,0.32465116279069767,1.0,0.054,0.12,0.064,0.058,0.041,0.024,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_537f282facb3,Google Fiber,Google,hyperscale,operational,GA,Fulton,33.7715677,-84.3668585,building,UNRESOLVABLE,medium,,,16.562829971313477,0.055,1,0.08499999999999999,1,0.14500000000000002,1,6.0,,non_burnable,0.06521739130434782,3.0,0.18326693227091634,3.0,0.24115456238361266,3.0,0.11,0.25,0.094,0.129,0.064,0.064,0.027,USGS ASCE 7-22 point service (site class BC),False
dc_15be445c537f,Open Computing Facility,,unknown,operational,CA,Alameda,37.8698521,-122.2598231,building,pending,medium,,,0.09281287342309952,0.595,1,0.775,1,1.0550000000000002,1,6.0,,non_burnable,0.09523809523809523,4.0,0.22580645161290322,4.0,0.33271719038817005,5.0,0.87,2.53,0.94,1.986,0.735,0.952,0.331,USGS ASCE 7-22 point service (site class BC),False
dc_e54691f8993e,Lumos Networks,,unknown,operational,VA,Lynchburg,37.4156786,-79.1429447,building,CANDIDATE,medium,,,10.857731819152832,0.065,1,0.10500000000000001,1,0.195,1,6.0,,non_burnable,0.16666666666666666,1.0,0.3724696356275304,3.0,0.5520446096654275,3.0,0.093,0.19,0.062,0.099,0.041,0.041,0.018,USGS ASCE 7-22 point service (site class BC),False
dc_004d4bd391b5,Rack59 Data Center,,unknown,operational,OK,Oklahoma,35.4672049,-97.6497453,building,CANDIDATE,medium,,,18.828590393066406,0.045,1,0.08499999999999999,1,0.175,1,6.0,,non_burnable,0.13636363636363635,1.0,0.32,1.0,0.24860335195530725,1.0,0.28,0.42,0.086,0.192,0.054,0.059,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_c15c28bd70c1,Oso Grande,Oso Grande,unknown,operational,NM,Bernalillo,35.0925015,-106.6536712,building,pending,medium,,,9.913078308105469,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.0,,0.08906882591093117,3.0,0.15769944341372913,3.0,0.17,0.44,0.12,0.255,0.082,0.084,0.029,USGS ASCE 7-22 point service (site class BC),False
