facility_id,independent_building_verified
dc_f8f4d74a1bbf,True
dc_23feba8dfbd6,True
dc_e1f13594b03c,False
dc_29f5ae089013,True
dc_d3c9d1fc34c5,True
dc_719da80ba59e,True
dc_4661711aa91c,False
dc_d26ec4045e7e,False
dc_9656dea8298d,True
dc_c481a23e5621,True
dc_3220818536c7,True
dc_f17c4c877a75,True
dc_fc76d047a367,True
dc_515444aaf104,True
dc_9b38f4695f6f,True
dc_0a5b4dcabb86,True
dc_37b6e4984473,True
dc_15ae64532452,True
dc_0b58b9cd7bf3,True
dc_1935437c7e01,False
dc_3fef4ef0197e,False
dc_526c2a45ec28,False
dc_88ceb844bdf4,True
dc_e1986068387b,False
dc_084826c020f7,False
dc_570dcd095704,True
dc_40672a8077dd,True
dc_2309affb2b7b,True
dc_c72d4cbdd423,True
dc_3693cec0112a,True
dc_f9abac844891,True
dc_e3f7200338fd,True
dc_711866d61cdd,True
dc_84d7cd7f77ed,True
dc_d71a4f367977,True
dc_3b5df59ce5b8,False
dc_bac15142be82,False
dc_403473c81f1f,False
dc_ecc6d4f818f6,False
dc_5d6a8401ff0b,True
dc_b63c46c43ef7,False
dc_c4a353e43e52,False
dc_1f13f2e4e800,False
dc_091d046182c5,False
dc_6ff36699e16a,False
dc_2a1d188ac87d,False
dc_d2de6bd1654c,True
dc_924134c2a4de,False
dc_a2925ffcf201,False
dc_953d28b6d60c,False
dc_2fb6faada02b,False
dc_767f1e943a61,True
dc_01f98dd90a2d,True
dc_ac081552fe1c,False
dc_90c8dcfdda40,False
dc_ce363e3ec754,False
dc_cf7e6e8946c1,True
dc_5dcb98d9729e,True
dc_2d83d46863fc,True
dc_58ce7a0aa27d,False
dc_03a9959da784,False
dc_bb6acbbe7a18,False
dc_23f3922163d5,False
dc_3933c406bf5d,False
dc_5316b4c0a16e,False
dc_25cab7b22101,True
dc_598350b62d6f,True
dc_2e2a707c7ddf,False
dc_6b5eadf13d33,True
dc_0829ecd70434,False
dc_3b69dbc4e5a5,True
dc_1771855b67b2,False
dc_8d7d400daa85,False
dc_a48459500fa0,False
dc_6bb9d780dce7,False
dc_9acc15c3d0a9,False
dc_4fd715d56b5a,True
dc_64ef535e80b4,False
dc_483139dbc068,False
dc_224c864afb76,True
dc_69889b71d3f5,True
dc_57acf1168596,False
dc_cd1b4830cc8b,False
dc_63bb73652979,True
dc_b8be2b6536e3,False
dc_15be445c537f,True
dc_2e34e7874bca,True
dc_5a0289a90452,False
dc_e47b672ce4ff,True
dc_92b8c227e4e0,False
dc_a2e7abda96a4,False
dc_605d28c1cd25,True
dc_d39ed5f3b9d9,True
dc_f41ce391bc3a,True
dc_0f8e04f8093f,True
dc_70517ce6c585,True
dc_3c06c3237ab7,False
dc_256bfc3771cd,False
dc_8eb668a8b3c3,True
dc_9f04712f31d7,True
dc_d05d1d438fa4,True
dc_2a2a32281bd3,True
dc_470dccd260a2,True
dc_2e8820a1a344,True
dc_d4a1a829c73b,False
dc_a155358ecc51,True
dc_e1661b2a1f9b,True
dc_479fe0de6655,True
dc_556a64184f4a,True
dc_e00eb2aece58,True
dc_038b8645007d,True
dc_506d216f297e,True
dc_6377f6789f0d,True
dc_2c5adc2a0ab8,True
dc_4f362c566385,True
dc_5f959f8ebedd,True
dc_4b5f2abb8123,True
dc_34886e6cf7de,True
dc_3e49d7f1ba48,True
dc_d766673ffec0,True
dc_7c4b01474de7,True
dc_9d25e192f215,True
dc_735d2581baf7,True
dc_7fe3c888b6c0,True
dc_78def80fc2f7,True
dc_12cbbeba293d,True
dc_b3f9e624dfec,True
dc_44e1452bfc28,True
dc_08c02a332e69,True
dc_a99edebba530,True
dc_7bac40f4748e,True
dc_1cab594215d1,True
dc_6be6451b0bd2,True
dc_3dc0f4451cf1,True
dc_38197c1f3767,False
dc_e247d5484e1d,True
dc_6986fb479925,False
dc_bd791a1d5428,True
dc_37283499bff1,True
dc_5251c1998ce0,True
dc_7293ff46ee7f,True
dc_d7bbe1a551ea,True
dc_e6031badf345,False
dc_73ec60377ab8,False
dc_e0ba05af04ef,True
dc_9558c9615f47,True
dc_4c8ff415be80,True
dc_764778a857ca,True
dc_5de7805a4d95,True
dc_b00a5fe6d20d,True
dc_8e694360ade4,True
dc_c55962889669,True
dc_9590e95f1c65,True
dc_12f42ac7aa67,True
dc_7535ad317c26,True
dc_1162b8639226,True
dc_e1d7138b0007,True
dc_c8e79bad6c96,True
dc_03fb7c7b8edd,True
dc_77cbe277429a,True
dc_c6ae9e1f88c6,True
dc_2358caf9e233,True
dc_9244f32ac697,True
dc_518875f9d853,True
dc_9c927d5b249c,True
dc_a9ccce6607ff,True
dc_27bede9eb66c,True
dc_49bdf2fd4426,True
dc_3e5f70660fb6,True
dc_dc75a6364fe9,True
dc_7e1ec0fe32da,True
dc_67a4e14e8e91,True
dc_bbef47685601,True
dc_3fa01f9ed0e0,True
dc_05ba33d454f3,True
dc_13ba42acb0f3,True
dc_7cdd84794129,True
dc_b7521d3b140b,True
dc_a33e0eaf3913,True
dc_6e6524e46803,True
dc_3b4009cb1bbc,True
dc_a0f51e098a77,True
dc_4608aa9b25e5,True
dc_c006ad7d9563,True
dc_8582438c63c9,True
dc_d4b9ccf16584,True
dc_6553f43d85f7,True
dc_f8d214368884,True
dc_b8308dcc18bb,False
dc_68281ce20aef,True
dc_973ebac1cb09,True
dc_f66efb0a0bc9,True
dc_b58a2083db92,True
dc_f97d793b329a,True
dc_a7a75774014b,True
dc_139e10563e60,True
dc_c99149f78d34,True
dc_4f36c545582c,True
dc_1b52528a2400,True
dc_b9607f6a4899,False
dc_949ff6edb0fd,True
dc_d4fbdd3d160d,False
dc_6cd941ab7126,False
dc_95e3409a561c,False
dc_f8e6324f3558,False
dc_7c0cbc96d748,True
dc_0fddb314e04f,True
dc_4b5aca5e22a3,False
dc_c8a36d575578,True
dc_e58ccf16d115,True
dc_12dcf424978c,True
dc_0bbaee713245,True
dc_89d0864db4f2,True
dc_59783b2d12ed,True
dc_4dbc93c49488,True
dc_9a78859fa7f1,True
dc_d290e4022b32,True
dc_90455f1b2274,True
dc_f27036f5aa1b,True
dc_1381e04db5f3,True
dc_8454f89ad7f5,True
dc_5901d49adbc4,True
dc_67ad37b81af1,True
dc_ad3f1c9b17f1,True
dc_d677d70d3c7b,True
dc_6db1673e46d6,True
dc_e3eb86c1081a,True
dc_59230c71f261,False
dc_0be54ba06f42,True
dc_2fcba60acd27,True
dc_1c50ce7c72a5,False
dc_80a8e001435c,False
dc_6868e3ad619f,False
dc_8f61bbab2b18,False
dc_938af684faa3,True
dc_01f94da97123,True
dc_716763afa8e2,False
dc_0d9b2c88b783,True
dc_f4bc65542ad7,False
dc_1e7f741f9284,True
dc_8411b70ee9f3,True
dc_9a40b00a652d,True
dc_b957334fcb5a,False
dc_9fc2a0ec8776,False
dc_99361789c568,False
dc_2d889a97f7e9,True
dc_74688765b678,True
dc_84bb862c11a5,False
dc_148aeae62582,True
dc_bb41f7c6272c,False
dc_37ea6db27be4,True
dc_573a60c3563b,False
dc_4b4306dd4707,False
dc_bf74522cdc31,True
dc_a5f0be3912b0,True
dc_b9ee518385d3,True
dc_122d26c60fe0,True
dc_4e99cc75cd39,False
dc_a4d71aa335ce,True
dc_0912ba349988,True
dc_bf2eef1439d6,True
dc_4cf5e14e6a53,False
dc_613e1ba146fa,True
dc_8313dc48caac,True
dc_535d66b5f9b6,True
dc_d983542baf94,True
dc_2d29a4e427b4,True
dc_f379e2e3f368,True
dc_191efb7ea726,True
dc_69bfcdca0d0e,True
dc_215a200532dc,True
dc_526d50fec2b4,True
dc_9b54779dc33d,False
dc_ac648486d8b7,True
dc_f5a70ed2b195,True
dc_475764483f9f,False
dc_5b707782623f,False
dc_bbebb5bd9416,False
dc_5e9834409f88,False
dc_044a443dd7e2,False
dc_16b0103c1ecb,True
dc_f800adc8ba21,True
dc_dad53bb36c30,True
dc_a3ed205f0651,True
dc_f88ba23a982f,False
dc_29fd6bdf13b7,False
dc_5a2443390108,False
dc_5f4d636f1ee7,False
dc_45390bd84c06,False
dc_72321c59e96b,False
dc_5da707de5ff8,False
dc_2f34cf65f086,False
dc_cb36d1bfe77c,False
dc_c7c753ce6dca,False
dc_5af66ce7d4ef,True
dc_89ac9b873c30,False
dc_6d4376c7e8a2,False
dc_7f252a87585c,False
dc_e6229de1ac08,False
dc_07743f0f8a70,False
dc_774234c34888,True
dc_1e8ff92390a0,True
dc_cd16309c74e0,False
dc_de20ecdcfb85,False
dc_d4f155a2b9d4,False
dc_1d02d6941bfd,False
dc_835c8b136700,False
dc_5ce1bef66bfd,False
dc_e1ec41460f16,False
dc_3c54f97d781a,False
dc_7c4e0d045a9c,True
dc_5cc1bdab179a,False
dc_ae9448694997,False
dc_824340142f56,False
dc_37ffc1fb3121,False
dc_3e47ba6ea7d4,False
dc_5f6777919547,False
dc_69b15e769d4a,False
dc_4ad26dcfcc07,True
dc_31e1262f634a,True
dc_b5ee50bca064,True
dc_36b4acad16e5,True
dc_a3e6b266b930,True
dc_c738a087d2cb,False
dc_8eb7845dad34,True
dc_913e6e43e473,True
dc_9f5bae7df94d,False
dc_1dd477f34bc5,False
dc_33704ffbd31e,False
dc_221b5b4e4cbe,True
dc_cb7067a8f749,False
dc_c78cab6d2736,False
dc_f3f12ded37f2,True
dc_114c47a01e77,False
dc_be1a71831407,False
dc_6e1ef83981b4,False
dc_7cf9062a50bd,False
dc_dad966852eb4,True
